Conexao;Conexao;Conexao;Conexao;Conexao;Conexao;;PIB;PIB;PIB;PIB;PIB;PIB;PIB;;Populacao;Populacao;Populacao;Populacao;Populacao;Populacao;Populacao;;Pib per capta;Pib per capta;Pib per capta;Pib per capta;Pib per capta;Pib per capta;Pib per capta
413;2;0;0.166;0;1;;413;2;2.00E-04;2.00E-04;0;0;0;;413;2;2.00E-04;3.00E-04;0;0;0;;413;1;0.1549;NA;1;NA;0
414;2;0.002;0.179;0;1;;414;1;0.0114;NA;1;NA;0;;414;1;0.0092;NA;0;NA;0;;414;2;1.00E-04;0.002;0;0;0
415;2;0;0.092;0;1;;415;2;0;0.0011;0;0;0;;415;2;0;0.001;0;0;0;;415;2;0;0.0097;0;0;0
416;2;0;0.025;0;1;;416;2;1.00E-04;0.6545;0;1;0;;416;2;1.00E-04;0.6289;0;1;0;;416;2;0;0.1209;0;1;0
417;1;0.541;NA;1;NA;;417;1;0.1255;NA;1;NA;0;;417;1;0.1242;NA;1;NA;0;;417;2;0.0071;0.3275;0;1;0
418;2;0;0.395;0;1;;418;2;0.0031;0.6876;0;1;0;;418;2;0.0019;0.6541;0;1;0;;418;2;0.0013;0.7737;0;1;0
419;2;0.003;0.772;0;1;;419;2;0.0032;0.7617;0;1;0;;419;2;0.0035;0.7549;0;1;0;;419;2;0.0012;0.8197;0;1;0
420;1;0;NA;0;NA;;420;2;0.0066;0.064;0;1;0;;420;2;0.0058;0.0765;0;1;0;;420;1;1.00E-04;NA;0;NA;0
421;1;0.074;NA;1;NA;;421;1;0.2548;NA;1;NA;0;;421;1;0.2585;NA;1;NA;0;;421;1;0.4354;NA;1;NA;0
422;2;0;0.543;0;1;;422;2;0.0021;0.1245;0;1;0;;422;2;0.0015;0.1326;0;1;0;;422;2;1.00E-04;0.1459;0;1;0
423;1;0.34;NA;1;NA;;423;2;0.0016;0.378;0;1;0;;423;2;0.0012;0.3514;0;1;0;;423;1;0.1163;NA;1;NA;0
424;2;0;0.049;0;1;;424;1;0.5837;NA;1;NA;0;;424;1;0.5484;NA;1;NA;0;;424;1;0.6396;NA;1;NA;0
425;2;0;0.001;0;0;;425;2;2.00E-04;0.0025;0;0;0;;425;2;2.00E-04;0.002;0;0;0;;425;2;1.00E-04;0.0014;0;0;0
426;1;0.247;NA;1;NA;;426;2;7.00E-04;0.7697;0;1;0;;426;2;8.00E-04;0.746;0;1;0;;426;2;9.00E-04;0.6386;0;1;0
427;2;0.001;0.399;0;1;;427;1;0.0757;NA;1;NA;0;;427;1;0.0665;NA;1;NA;0;;427;2;7.00E-04;0.1251;0;1;0
428;2;0;0.018;0;1;;428;2;0;0.0325;0;1;0;;428;2;0;0.0236;0;1;0;;428;2;0;0.0116;0;1;0
429;1;0;NA;0;NA;;429;1;5.00E-04;NA;0;NA;0;;429;1;1.00E-04;NA;0;NA;0;;429;1;0;NA;0;NA;0
430;1;0.298;NA;1;NA;;430;2;0.0018;0.0093;0;0;0;;430;2;0.002;0.0244;0;1;0;;430;2;2.00E-04;0.3081;0;1;0
431;2;0.012;0.5;1;1;;431;2;0;2.00E-04;0;0;0;;431;2;0;6.00E-04;0;0;0;;431;2;0.018;0.064;1;1;0
432;1;0;NA;0;NA;;432;2;0;3.00E-04;0;0;0;;432;2;0;2.00E-04;0;0;0;;432;2;0;0.0024;0;0;0
433;2;0.001;0.008;0;0;;433;2;0.2015;0.0024;1;0;0;;433;2;0.1506;0.0019;1;0;0;;433;2;0.0048;0.0195;0;1;0
434;2;0.003;0.025;0;1;;434;2;0.0212;0.1847;1;1;0;;434;2;0.0153;0.1395;1;1;0;;434;2;0.0044;0.017;0;1;0
435;2;0.009;0.003;0;0;;435;2;0.0973;0.0085;1;0;0;;435;2;0.0953;0.0073;1;0;0;;435;2;0.0227;0.0374;1;1;0
436;2;0;0.111;0;1;;436;1;0.274;NA;1;NA;0;;436;1;0.2541;NA;1;NA;0;;436;1;0.1844;NA;1;NA;0
437;2;0.001;0.2;0;1;;437;1;0.9729;NA;1;NA;0;;437;1;0.9674;NA;1;NA;0;;437;2;0.0105;0.5459;1;1;0
438;2;0.002;0;0;0;;438;2;0;0.0095;0;0;0;;438;2;0;0.0044;0;0;0;;438;2;1.00E-04;0.0026;0;0;0
439;2;0;0.019;0;1;;439;2;0;0.0019;0;0;0;;439;2;0;0.0014;0;0;0;;439;2;0;2.00E-04;0;0;0
440;2;0.014;0.296;1;1;;440;2;0.0243;0.467;1;1;0;;440;2;0.0158;0.5315;1;1;0;;440;2;0.0127;0.3828;1;1;0
441;2;0;0.229;0;1;;441;1;0.5739;NA;1;NA;0;;441;1;0.5696;NA;1;NA;0;;441;2;1.00E-04;0.1815;0;1;0
442;2;0;0.155;0;1;;442;2;0;0.154;0;1;0;;442;2;0;0.1555;0;1;0;;442;2;5.00E-04;0.2413;0;1;0
443;2;0.001;0.364;0;1;;443;2;0.0012;0.167;0;1;0;;443;2;0.0012;0.2181;0;1;0;;443;2;0.0043;0.1244;0;1;0
444;2;0;0.682;0;1;;444;2;0.0014;0.2386;0;1;0;;444;2;0.0013;0.2317;0;1;0;;444;2;8.00E-04;0.6769;0;1;0
445;1;0.067;NA;1;NA;;445;1;0.2992;NA;1;NA;0;;445;1;0.2259;NA;1;NA;0;;445;1;0.0522;NA;1;NA;0
446;2;0;0.156;0;1;;446;2;3.00E-04;0.0813;0;1;0;;446;2;4.00E-04;0.0863;0;1;0;;446;2;1.00E-04;0.0338;0;1;0
447;1;0.004;NA;0;NA;;447;1;0.1445;NA;1;NA;0;;447;1;0.1329;NA;1;NA;0;;447;1;0.0999;NA;1;NA;0
448;2;0;0.339;0;1;;448;2;0;0.1426;0;1;0;;448;2;0;0.1188;0;1;0;;448;2;0;0.0497;0;1;0
449;2;0;0.439;0;1;;449;2;4.00E-04;0.8031;0;1;0;;449;2;2.00E-04;0.761;0;1;0;;449;2;0;0.5738;0;1;0
450;2;0;0.186;0;1;;450;2;0;0.1901;0;1;0;;450;2;0;0.1825;0;1;0;;450;2;0;0.094;0;1;0
451;2;0.001;0.034;0;1;;451;2;1.00E-04;0.0196;0;1;0;;451;2;1.00E-04;0.012;0;1;0;;451;2;0.0019;0.0126;0;1;0
452;2;0;0.567;0;1;;452;2;1.00E-04;0.5589;0;1;0;;452;2;1.00E-04;0.4687;0;1;0;;452;2;0;0.3488;0;1;0
453;2;0;0.118;0;1;;453;1;0;NA;0;NA;0;;453;1;0;NA;0;NA;0;;453;1;0;NA;0;NA;0
454;2;0.002;0.021;0;1;;454;2;6.00E-04;0.7044;0;1;0;;454;2;0.0011;0.817;0;1;0;;454;2;2.00E-04;0.3093;0;1;0
455;2;0;0.822;0;1;;455;1;0.1397;NA;1;NA;0;;455;2;3.00E-04;0.7172;0;1;0;;455;2;1.00E-04;0.6769;0;1;0
456;2;0;0;0;0;;456;2;0;1.00E-04;0;0;0;;456;2;0;1.00E-04;0;0;0;;456;2;0;2.00E-04;0;0;0
457;2;0;0.018;0;1;;457;2;0;0.2304;0;1;0;;457;2;0;0.2455;0;1;0;;457;2;0;0.117;0;1;0
458;2;0;0.004;0;0;;458;2;7.00E-04;0;0;0;0;;458;2;5.00E-04;0;0;0;0;;458;2;1.00E-04;0;0;0;0
459;2;0;0.15;0;1;;459;1;0.0044;NA;0;NA;0;;459;2;0;8.00E-04;0;0;0;;459;2;0;0.0058;0;0;0
460;2;0;0;0;0;;460;2;0;0;0;0;0;;460;2;0;1.00E-04;0;0;0;;460;2;0;1.00E-04;0;0;0
461;2;0;0.176;0;1;;461;2;0;0.0409;0;1;0;;461;2;0;0.0282;0;1;0;;461;2;0;0.161;0;1;0
462;2;0.001;0.303;0;1;;462;2;8.00E-04;0.0657;0;1;0;;462;2;0.0014;0.0892;0;1;0;;462;2;0.0075;0.0594;0;1;0
463;2;0;0;0;0;;463;2;1.00E-04;0.0441;0;1;0;;463;2;1.00E-04;0.0399;0;1;0;;463;2;0;0.008;0;0;0
464;2;0;0.167;0;1;;464;2;6.00E-04;0.0368;0;1;0;;464;2;5.00E-04;0.026;0;1;0;;464;2;1.00E-04;0.0748;0;1;0
465;2;0.002;0.021;0;1;;465;1;0.0136;NA;1;NA;0;;465;1;0.0122;NA;1;NA;0;;465;1;0.0262;NA;1;NA;0
466;2;0;0.002;0;0;;466;2;0;0.0048;0;0;0;;466;2;0;0.0044;0;0;0;;466;2;0;0.0091;0;0;0
467;1;0.183;NA;1;NA;;467;2;0.0459;0.4782;1;1;0;;467;2;0.0403;0.4327;1;1;0;;467;2;0.0056;0.4671;0;1;0
468;1;0.007;NA;0;NA;;468;1;0.3484;NA;1;NA;1;;468;NA;NA;NA;NA;NA;1;;468;1;0.2024;NA;1;NA;0
469;2;0;0.032;0;1;;469;2;0.1001;0.1008;1;1;0;;469;2;0.0915;0.0941;1;1;0;;469;2;0;0.4579;0;1;0
470;2;0.001;0.326;0;1;;470;2;0.0029;0.0063;0;0;0;;470;2;0.0035;0.009;0;0;0;;470;2;0.0018;0.0217;0;1;0
471;2;0.001;0.088;0;1;;471;2;5.00E-04;0.3613;0;1;0;;471;2;7.00E-04;0.3369;0;1;0;;471;2;6.00E-04;0.0876;0;1;0
472;2;0;0.004;0;0;;472;2;0;0.0072;0;0;0;;472;2;0;0.0088;0;0;0;;472;2;0;0.0048;0;0;0
473;2;0.007;0.218;0;1;;473;2;0.549;0.1472;1;1;0;;473;2;0.5585;0.1604;1;1;0;;473;2;0.4042;0.21;1;1;0
474;2;0;0.03;0;1;;474;2;0;0.157;0;1;0;;474;2;0;0.1277;0;1;0;;474;2;0;0.0403;0;1;0
475;2;0;0.013;0;1;;475;2;0.0024;0.0112;0;1;0;;475;2;0.0016;0.0132;0;1;0;;475;2;0;0.0138;0;1;0
476;2;0.049;0.095;1;1;;476;2;0.0484;0.5935;1;1;0;;476;2;0.0281;0.4836;1;1;0;;476;2;0.0055;0.0813;0;1;0
477;2;0;0.011;0;1;;477;2;0;0.0183;0;1;0;;477;2;0;0.0168;0;1;0;;477;2;0;0.0045;0;0;0
478;2;0.008;0.304;0;1;;478;2;0.0217;0.3347;1;1;0;;478;2;0.0145;0.2722;1;1;0;;478;2;0;0.0203;0;1;0
479;2;0;0.463;0;1;;479;2;0.0431;0.2136;1;1;0;;479;2;0.0248;0.2824;1;1;0;;479;2;0.0027;0.4779;0;1;0
480;2;0;0.022;0;1;;480;2;0;0.0179;0;1;0;;480;2;0;0.0173;0;1;0;;480;2;0;0.0253;0;1;0
481;2;0;0.33;0;1;;481;1;0.0603;NA;1;NA;0;;481;1;0.0547;NA;1;NA;0;;481;2;3.00E-04;0.004;0;0;0
482;2;0.007;0.164;0;1;;482;2;0.3638;0.1226;1;1;0;;482;2;0.3323;0.1463;1;1;0;;482;2;0.0554;0.7868;1;1;0
483;2;0;0.255;0;1;;483;2;0.0066;0.0227;0;1;0;;483;2;0.0032;0.0229;0;1;0;;483;2;0;0.5011;0;1;0
484;2;0.011;0.005;1;0;;484;2;0.0247;0.1245;1;1;0;;484;2;0.0231;0.1292;1;1;0;;484;2;0;0.0206;0;1;0
485;1;0.057;NA;1;NA;;485;1;0.1042;NA;1;NA;0;;485;1;0.1036;NA;1;NA;0;;485;1;0.0166;NA;1;NA;0
486;2;0;0.337;0;1;;486;2;0;0;0;0;0;;486;2;0;1.00E-04;0;0;0;;486;2;0;0;0;0;0
487;1;0.001;NA;0;NA;;487;1;0.0107;NA;1;NA;0;;487;1;0.0112;NA;1;NA;0;;487;2;6.00E-04;0.0792;0;1;0
488;2;0;0.064;0;1;;488;1;0.2368;NA;1;NA;0;;488;2;0.0022;0.4526;0;1;0;;488;2;3.00E-04;0.4295;0;1;0
489;1;0;NA;0;NA;;489;2;0;0.0978;0;1;0;;489;2;0;0.1037;0;1;0;;489;2;0;0.0751;0;1;0
490;2;0.003;0.027;0;1;;490;2;0;0;0;0;0;;490;2;0;0;0;0;0;;490;2;0;0.0157;0;1;0
491;2;0.008;0.032;0;1;;491;2;0.0176;0.0783;1;1;0;;491;2;0.0265;0.078;1;1;0;;491;2;5.00E-04;0.0327;0;1;0
492;2;0;0.098;0;1;;492;2;0.0058;0.0422;0;1;0;;492;2;0.0032;0.0651;0;1;0;;492;2;9.00E-04;0.1753;0;1;0
493;2;0;0.07;0;1;;493;2;0.0012;0.8075;0;1;0;;493;2;0.0011;0.8212;0;1;0;;493;2;3.00E-04;0.0051;0;0;0
494;2;0.011;0.917;1;1;;494;2;0.0119;0.1568;1;1;0;;494;2;0.0105;0.1687;1;1;0;;494;2;7.00E-04;0.7497;0;1;0
495;2;0.02;0.102;1;1;;495;1;0.0738;NA;1;NA;0;;495;1;0.0459;NA;1;NA;0;;495;1;0.3329;NA;1;NA;0
496;2;0;0.88;0;1;;496;2;2.00E-04;0.2653;0;1;0;;496;2;2.00E-04;0.266;0;1;0;;496;2;1.00E-04;0.5613;0;1;0
497;2;0;0.414;0;1;;497;2;6.00E-04;0.1792;0;1;0;;497;2;7.00E-04;0.1489;0;1;0;;497;2;4.00E-04;0.4454;0;1;0
498;2;0;0.38;0;1;;498;2;2.00E-04;0.0213;0;1;0;;498;2;1.00E-04;0.058;0;1;0;;498;2;3.00E-04;0.2048;0;1;0
499;2;0;0.062;0;1;;499;2;3.00E-04;0.0559;0;1;0;;499;2;6.00E-04;0.132;0;1;0;;499;2;1.00E-04;0.2316;0;1;0
500;2;0.001;0.152;0;1;;500;2;0.0011;0.0947;0;1;0;;500;2;0.0015;0.1104;0;1;0;;500;2;0.0012;0.0202;0;1;0
501;1;0;NA;0;NA;;501;1;1.00E-04;NA;0;NA;0;;501;1;1.00E-04;NA;0;NA;0;;501;1;0;NA;0;NA;0
502;1;0.003;NA;0;NA;;502;1;0.0903;NA;1;NA;0;;502;1;0.0376;NA;1;NA;0;;502;1;0;NA;0;NA;0
503;2;0.095;0.123;1;1;;503;2;0.0167;0.3112;1;1;0;;503;2;0.014;0.3178;1;1;0;;503;2;0.0079;0.5274;0;1;0
504;2;0;0.001;0;0;;504;1;0.0123;NA;1;NA;0;;504;1;0.0076;NA;0;NA;0;;504;2;0;3.00E-04;0;0;0
505;1;0.048;NA;1;NA;;505;1;0.0178;NA;1;NA;0;;505;1;0.0235;NA;1;NA;0;;505;1;0.0984;NA;1;NA;0
506;2;0.633;0.717;1;1;;506;1;0.9538;NA;1;NA;0;;506;1;0.9497;NA;1;NA;0;;506;2;0.0086;0.5971;0;1;0
507;2;0.017;0.231;1;1;;507;2;0.0026;0.0401;0;1;0;;507;2;0.0019;0.0645;0;1;0;;507;2;0.0433;0.7124;1;1;0
508;2;0;0.009;0;0;;508;2;0.0074;0.0648;0;1;0;;508;2;0.0051;0.0588;0;1;0;;508;2;0;0.0069;0;0;0
509;2;0;0.027;0;1;;509;1;0.1621;NA;1;NA;0;;509;1;0.2;NA;1;NA;0;;509;1;0.111;NA;1;NA;0
510;2;0;0.002;0;0;;510;2;0;0.0017;0;0;0;;510;2;0;0.0011;0;0;0;;510;2;0;4.00E-04;0;0;0
511;2;0.001;0.816;0;1;;511;2;0.0121;0.1587;1;1;0;;511;2;0.0062;0.171;0;1;0;;511;2;0;0.4697;0;1;0
512;2;0.022;0.001;1;0;;512;2;0.0095;9.00E-04;0;0;0;;512;2;0.0109;7.00E-04;1;0;0;;512;2;0.0111;5.00E-04;1;0;0
513;2;0;0.002;0;0;;513;2;0;0.0085;0;0;0;;513;2;1.00E-04;0.0374;0;1;0;;513;2;0;2.00E-04;0;0;0
514;2;0.001;0.591;0;1;;514;1;0.0838;NA;1;NA;0;;514;1;0.077;NA;1;NA;0;;514;2;0;0.7036;0;1;0
515;2;0;0.363;0;1;;515;1;0.0052;NA;0;NA;0;;515;1;0.0046;NA;0;NA;0;;515;2;0;0.9277;0;1;0
516;2;0;0.216;0;1;;516;1;0.0083;NA;0;NA;0;;516;1;0.0074;NA;0;NA;0;;516;2;1.00E-04;0.1411;0;1;0
517;2;0;0.116;0;1;;517;2;0.0019;0.0157;0;1;0;;517;2;0.016;0.033;1;1;0;;517;2;0;0.0238;0;1;0
518;2;0;0.074;0;1;;518;2;0;0.0026;0;0;0;;518;2;0;0.0065;0;0;0;;518;2;0;0.0064;0;0;0
519;2;0;0.048;0;1;;519;1;0.4711;NA;1;NA;0;;519;1;0.4637;NA;1;NA;0;;519;2;9.00E-04;0.0334;0;1;0
520;2;0;0.64;0;1;;520;1;0.0037;NA;0;NA;0;;520;1;0.004;NA;0;NA;0;;520;2;0;0.5504;0;1;0
521;2;0;0.23;0;1;;521;2;0;0.193;0;1;0;;521;2;0;0.1993;0;1;0;;521;2;0;0.134;0;1;0
522;2;0;0.018;0;1;;522;2;1.00E-04;0.0427;0;1;0;;522;2;1.00E-04;0.0613;0;1;0;;522;2;0;0.0297;0;1;0
523;2;0;0.448;0;1;;523;2;0;0.2549;0;1;0;;523;2;0;0.2811;0;1;0;;523;2;0;0.4325;0;1;0
524;2;0.001;0.158;0;1;;524;2;0.0054;0.2911;0;1;0;;524;2;0.0085;0.3681;0;1;0;;524;2;5.00E-04;0.0456;0;1;0
525;2;0;0.938;0;1;;525;1;0.8372;NA;1;NA;0;;525;1;0.8635;NA;1;NA;0;;525;2;0.0368;0.5827;1;1;0
526;2;0;0;0;0;;526;2;0;7.00E-04;0;0;0;;526;2;0;0;0;0;0;;526;2;0;0;0;0;0
527;2;0;0.597;0;1;;527;2;0.0149;0.9598;1;1;0;;527;2;0.0249;0.9794;1;1;0;;527;2;0;0.6589;0;1;0
528;2;0.006;0.031;0;1;;528;2;1.00E-04;0.2025;0;1;0;;528;2;3.00E-04;0.247;0;1;0;;528;2;0.0153;0.0265;1;1;0
529;2;0;0.314;0;1;;529;2;0;0.506;0;1;0;;529;2;0;0.5054;0;1;0;;529;2;0;0.3538;0;1;0
530;2;0.001;0.499;0;1;;530;1;0.3663;NA;1;NA;0;;530;1;0.3593;NA;1;NA;0;;530;2;0.0047;0.4305;0;1;0
531;1;0.001;NA;0;NA;;531;2;2.00E-04;0.0658;0;1;0;;531;2;3.00E-04;0.0485;0;1;0;;531;2;0;0.0061;0;0;0
532;2;0;0.006;0;0;;532;1;0.5837;NA;1;NA;0;;532;1;0.5505;NA;1;NA;0;;532;2;0;0.0079;0;0;0
533;2;0;0.001;0;0;;533;2;2.00E-04;0.069;0;1;0;;533;2;6.00E-04;0.0873;0;1;0;;533;2;0;0.0039;0;0;0
534;2;0;0.052;0;1;;534;2;0;0.0457;0;1;0;;534;2;1.00E-04;0.0538;0;1;0;;534;2;0;0.0581;0;1;0
535;2;0;0;0;0;;535;2;2.00E-04;0.0517;0;1;0;;535;2;1.00E-04;0.0421;0;1;0;;535;2;0;2.00E-04;0;0;0
536;2;0;0.002;0;0;;536;2;0.0033;0.2028;0;1;0;;536;2;0.004;0.1868;0;1;0;;536;2;0;9.00E-04;0;0;0
537;2;0;0;0;0;;537;2;1.00E-04;0.0353;0;1;0;;537;2;0;0.0203;0;1;0;;537;2;0;1.00E-04;0;0;0
538;2;0.002;0.78;0;1;;538;2;0.0202;0.2405;1;1;0;;538;2;0.0093;0.2992;0;1;0;;538;2;0.0023;0.8309;0;1;0
539;1;0.913;NA;1;NA;;539;1;0.9106;NA;1;NA;0;;539;1;0.9178;NA;1;NA;0;;539;1;0.9253;NA;1;NA;0
540;2;0;0.011;0;1;;540;2;0.0016;0.0282;0;1;0;;540;2;0.0152;0.0721;1;1;0;;540;2;0.0407;0.1274;1;1;0
541;2;0.001;0.005;0;0;;541;2;0;0.0063;0;0;0;;541;2;0;0.0028;0;0;0;;541;2;0.0963;0.1078;1;1;0
542;2;0.002;0.317;0;1;;542;2;4.00E-04;0.1103;0;1;0;;542;2;5.00E-04;0.1154;0;1;0;;542;2;0.0238;0.1743;1;1;0
543;2;0.004;0.02;0;1;;543;2;9.00E-04;2.00E-04;0;0;0;;543;2;8.00E-04;1.00E-04;0;0;0;;543;2;1.00E-04;0.0044;0;0;0
544;1;0.048;NA;1;NA;;544;2;1.00E-04;0.3571;0;1;0;;544;2;3.00E-04;0.4033;0;1;0;;544;2;1.00E-04;0.0923;0;1;0
545;2;0;0.001;0;0;;545;1;0.5989;NA;1;NA;0;;545;1;0.6331;NA;1;NA;0;;545;2;0;6.00E-04;0;0;0
546;2;0;0.302;0;1;;546;2;8.00E-04;0.6438;0;1;0;;546;2;3.00E-04;0.6901;0;1;0;;546;2;0;0.1858;0;1;0
547;2;0.006;0.804;0;1;;547;2;4.00E-04;0.0121;0;1;0;;547;2;0.002;0.0223;0;1;0;;547;2;0;0.3591;0;1;0
548;2;0;0.002;0;0;;548;2;0;0.0061;0;0;0;;548;2;0;6.00E-04;0;0;0;;548;2;0;0.0025;0;0;0
549;2;0.015;0.126;1;1;;549;2;0.0379;0.2012;1;1;0;;549;2;0.0171;0.2243;1;1;0;;549;2;4.00E-04;0.2306;0;1;0
550;1;0.027;NA;1;NA;;550;1;0.0029;NA;0;NA;0;;550;1;0.0016;NA;0;NA;0;;550;1;0;NA;0;NA;0
551;2;0;0.143;0;1;;551;2;0.002;0.0764;0;1;0;;551;2;0.0012;0.0839;0;1;0;;551;2;1.00E-04;0.1021;0;1;0
552;2;0.009;0.044;0;1;;552;1;0.0048;NA;0;NA;0;;552;1;0.0094;NA;0;NA;0;;552;2;0.0175;0.0441;1;1;0
