Ano,Mes,selic,Data,ln_Selic_aa
1995,1,1.0015096966765482,1995-01-01,0.3801566740059602
1995,2,1.0017799988716296,1995-02-01,0.4481609708635287
1995,3,1.0018163359108299,1995-03-01,0.4573014685980302
1995,4,1.0024543117628995,1995-04-01,0.6177288243923985
1995,5,1.0018927277219076,1995-05-01,0.47651656998208386
1995,6,1.0018876219004644,1995-06-01,0.47523233041567553
1995,7,1.0018800018968435,1995-07-01,0.47331570007422225
1995,8,1.0016395629574713,1995-08-01,0.41283152604812484
1995,9,1.0016366694617314,1995-09-01,0.41210355761855477
1995,10,1.0014511108180086,1995-10-01,0.3654148614842764
1995,11,1.0014184991718735,1995-11-01,0.3572085011842523
1995,12,1.0013706656662196,1995-12-01,0.3451712447034241
1996,1,1.0011569706816519,1996-01-01,0.29138808052829057
1996,2,1.0012240349386634,1996-02-01,0.30826817749863605
1996,3,1.0010465094337047,1996-03-01,0.2635824805606603
1996,4,1.0010240001938209,1996-04-01,0.2579160183419968
1996,5,1.000906212636269,1996-05-01,0.22826217292114745
1996,6,1.001031049476333,1996-06-01,0.25969061409386157
1996,7,1.0008308704066802,1996-07-01,0.20929240708505095
1996,8,1.000886211208607,1996-08-01,0.22322632633587486
1996,9,1.0008985712601621,1996-09-01,0.22633828224563357
1996,10,1.0008374235829092,1996-10-01,0.21094243113216363
1996,11,1.0008944999709843,1996-11-01,0.22531323636297118
1996,12,1.0008519046490192,1996-12-01,0.21458858002082384
1997,1,1.000780757239452,1997-01-01,0.19667405698185889
1997,2,1.000921851615967,1997-02-01,0.23219959687311684
1997,3,1.0008573694675003,1997-03-01,0.21596453833309295
1997,4,1.0007841263310078,1997-04-01,0.1975224042715379
1997,5,1.0007863324401132,1997-05-01,0.1980779075685853
1997,6,1.00075936425948,1997-06-01,0.19128717425567263
1997,7,1.000692029985646,1997-07-01,0.17433124211427195
1997,8,1.000749524276573,1997-08-01,0.18880936792982914
1997,9,1.0007174245167303,1997-09-01,0.18072615727684677
1997,10,1.000721586035135,1997-10-01,0.18177410591027868
1997,11,1.001500166407638,1997-11-01,0.37775865509485373
1997,12,1.001332272154119,1997-12-01,0.3355091376901064
1998,1,1.0012555261854272,1998-01-01,0.31619414522305433
1998,2,1.0011714799602085,1998-02-01,0.2950401668732254
1998,3,1.000989972719107,1998-03-01,0.2493497208588091
1998,4,1.0008910797864714,1998-04-01,0.22445211866287734
1998,5,1.000808773182285,1998-05-01,0.2037284679757874
1998,6,1.000757290940317,1998-06-01,0.1907650937346597
1998,7,1.000734783438059,1998-07-01,0.18509743145225252
1998,8,1.000698112839911,1998-08-01,0.17586305666853894
1998,9,1.0011707200942725,1998-09-01,0.2948489046445669
1998,10,1.0013811774745969,1998-10-01,0.3478165806397523
1998,11,1.0012998977739673,1998-11-01,0.327361516852475
1998,12,1.0010792952388448,1998-12-01,0.27183573105746933
1999,1,1.0010778681129404,1999-01-01,0.2714764828081542
1999,2,1.001306885554637,1999-02-01,0.32912014539944623
1999,3,1.0014271609853462,1999-03-01,0.35938817687125696
1999,4,1.001224535812339,1999-04-01,0.30839424332435217
1999,5,1.0009522253709424,1999-05-01,0.2398466175747443
1999,6,1.0007898582293349,1999-06-01,0.19896570678203435
1999,7,1.0007480780978864,1999-07-01,0.1884452035875024
1999,8,1.0007076599999865,1999-08-01,0.17826725113191777
1999,9,1.0007031975921246,1999-09-01,0.17714351706508855
1999,10,1.0006874399985064,1999-10-01,0.1731753626056086
1999,11,1.0006887244945046,1999-11-01,0.1734988330229119
1999,12,1.0006902247819267,1999-12-01,0.17387664496152488
2000,1,1.0006884457111396,2000-01-01,0.17342862795707933
2000,2,1.0006861733333252,2000-02-01,0.1728563820579157
2000,3,1.0006854066589348,2000-03-01,0.17266331251669037
2000,4,1.0006777742093143,2000-04-01,0.17074124527495002
2000,5,1.0006742340887607,2000-05-01,0.16984973755835941
2000,6,1.0006583841719512,2000-06-01,0.16585821810814216
2000,7,1.0006180694693616,2000-07-01,0.155705392859572
2000,8,1.0006069895622602,2000-08-01,0.152914965489126
2000,9,1.0006082829970626,2000-09-01,0.1532407131232438
2000,10,1.0006094999999695,2000-10-01,0.1535472112316888
2000,11,1.00060644199667,2000-11-01,0.15277706262823657
2000,12,1.000595700465959,2000-12-01,0.15007182293076363
2001,1,1.0005715876832963,2001-01-01,0.14399894609808217
2001,2,1.0005616633301584,2001-02-01,0.1414994253994787
2001,3,1.0005683476676899,2001-03-01,0.1431829272696043
2001,4,1.0005898694684492,2001-04-01,0.14860328208724433
2001,5,1.0006037795161098,2001-05-01,0.15210652327762805
2001,6,1.0006328386821113,2001-06-01,0.15942490808659962
2001,7,1.0006760799499304,2001-07-01,0.17031458073099087
2001,8,1.0006903843462922,2001-08-01,0.17391682744347975
2001,9,1.000692670526221,2001-09-01,0.17449254665987896
2001,10,1.0006926381815548,2001-10-01,0.17448440144585065
2001,11,1.0006921489999927,2001-11-01,0.174361212987089
2001,12,1.0006922,2001-12-01,0.17437405609926102
2002,1,1.0006922,2002-01-01,0.17437405609926102
2002,2,1.000689398325487,2002-02-01,0.17366852150467837
2002,3,1.0006812394921762,2002-03-01,0.17161390357887693
2002,4,1.000669619542926,2002-04-01,0.1686876528439306
2002,5,1.0006693057119875,2002-05-01,0.1686086203567076
2002,6,1.0006603572650226,2002-06-01,0.16635510992621308
2002,7,1.0006627264836168,2002-07-01,0.16695175830406564
2002,8,1.0006516149996938,2002-08-01,0.16415350328677464
2002,9,1.0006534580951705,2002-09-01,0.16461766046737494
2002,10,1.0007100461688287,2002-10-01,0.17886813973843413
2002,11,1.0007648818783133,2002-11-01,0.1926765553222706
2002,12,1.0008229298541202,2002-12-01,0.20729304111591962
2003,1,1.0008877067913386,2003-01-01,0.2236028791973035
2003,2,1.000907326399466,2003-02-01,0.22854258697581903
2003,3,1.0009274899998069,2003-03-01,0.23361915697496982
2003,4,1.0009275779999953,2003-04-01,0.2336413124724869
2003,5,1.0009272338093644,2003-05-01,0.23355465679848753
2003,6,1.0009202499715082,2003-06-01,0.23179635387677158
2003,7,1.000897282406784,2003-07-01,0.2260137825713367
2003,8,1.0008378292770268,2003-08-01,0.211044580486808
2003,9,1.0007573599379969,2003-09-01,0.1907824679920002
2003,10,1.000708391624773,2003-10-01,0.178451490132156
2003,11,1.0006675157076377,2003-11-01,0.1681578405665834
2003,12,1.0006201498667047,2003-12-01,0.15622932861633157
2004,1,1.0005999823807914,2004-01-01,0.15115022075765908
2004,2,1.0005993777774442,2004-02-01,0.15099795202669808
2004,3,1.0005956991251386,2004-03-01,0.15007148524519626
2004,4,1.0005876329906678,2004-04-01,0.14804002130680471
2004,5,1.0005812776187317,2004-05-01,0.14643940306873454
2004,6,1.0005822585711888,2004-06-01,0.146686459358442
2004,7,1.0005813868179234,2004-07-01,0.14646690527712036
2004,8,1.0005843936359948,2004-08-01,0.14722418202190413
2004,9,1.000592348082044,2004-09-01,0.1492275237184317
2004,10,1.000603143465914,2004-10-01,0.15194633529555343
2004,11,1.0006218059655347,2004-11-01,0.15664640652533895
2004,12,1.000640177355179,2004-12-01,0.16127307732512325
2005,1,1.0006546875857718,2005-01-01,0.16492728957891736
2005,2,1.0006729071881504,2005-02-01,0.16951558368081027
2005,3,1.0006896099658695,2005-03-01,0.17372181813283552
2005,4,1.0007010754924417,2005-04-01,0.176609123162493
2005,5,1.0007106718973904,2005-05-01,0.1790257114035097
2005,6,1.0007153299999816,2005-06-01,0.18019871690246167
2005,7,1.0007145590476039,2005-07-01,0.18000457570346443
2005,8,1.000715421304273,2005-08-01,0.18022170913582586
2005,9,1.0007107052309001,2005-09-01,0.17903410548238582
2005,10,1.0006989219662519,2005-10-01,0.17606681417825837
2005,11,1.0006860309733254,2005-11-01,0.17282053193481567
2005,12,1.000665139517133,2005-12-01,0.16755943929072167
2006,1,1.000645298560099,2006-01-01,0.16256279201641305
2006,2,1.0006327316664798,2006-02-01,0.15939795720159028
2006,3,1.0006142242853229,2006-03-01,0.1547370031521049
2006,4,1.0005957943688477,2006-04-01,0.1500954723696486
2006,5,1.0005789063626467,2006-05-01,0.14584219297209722
2006,6,1.0005608404761654,2006-06-01,0.14129218250872383
2006,7,1.000554046152402,2006-07-01,0.13958096682608667
2006,8,1.0005429469500509,2006-08-01,0.13678550113684373
2006,9,1.000526017999991,2006-09-01,0.1325216846568626
2006,10,1.0005183728214555,2006-10-01,0.1305961051946463
2006,11,1.0005078449928442,2006-11-01,0.12794445297094165
2006,12,1.0004916399999852,2006-12-01,0.12386283452859284
2007,1,1.0004896572654975,2007-01-01,0.1233634304696099
2007,2,1.000482727777767,2007-02-01,0.1216180481533436
2007,3,1.0004758977205643,2007-03-01,0.11989769832386274
2007,4,1.000470304490722,2007-04-01,0.11848887092137773
2007,5,1.00046503,2007-05-01,0.11716032057891906
2007,6,1.0004508779749766,2007-06-01,0.11359564273139282
2007,7,1.0004400663254434,2007-07-01,0.11087232021333661
2007,8,1.0004295447826062,2007-08-01,0.10822204377325231
2007,9,1.0004220568368296,2007-09-01,0.10633588456567304
2007,10,1.0004206336363608,2007-10-01,0.10597738909789091
2007,11,1.00042065,2007-11-01,0.10598151100110187
2007,12,1.00042065,2007-12-01,0.10598151100110187
2008,1,1.0004205845454448,2008-01-01,0.1059650233881891
2008,2,1.0004206310526282,2008-02-01,0.1059767382710443
2008,3,1.000420613999994,2008-03-01,0.10597244281399351
2008,4,1.0004274185393096,2008-04-01,0.10768645995036985
2008,5,1.0004365759998657,2008-05-01,0.10999314352950891
2008,6,1.0004529861692288,2008-06-01,0.1141266676957555
2008,7,1.0004627116718599,2008-07-01,0.11657637276396776
2008,8,1.0004822657142802,2008-08-01,0.12150166430949448
2008,9,1.000498784012455,2008-09-01,0.12566223458648185
2008,10,1.0005083973912838,2008-10-01,0.12808358668094869
2008,11,1.0005075299999693,2008-11-01,0.127865115045341
2008,12,1.0005082299999946,2008-12-01,0.12804142550715367
2009,1,1.0004964831959904,2009-01-01,0.1250827172246946
2009,2,1.00047314,2009-02-01,0.11920308235002626
2009,3,1.0004392787634673,2009-03-01,0.11067394181689905
2009,4,1.0004181184694834,2009-04-01,0.1053438327431398
2009,5,1.000384041999997,2009-05-01,0.09676000523529149
2009,6,1.0003616331792522,2009-06-01,0.09111508704506267
2009,7,1.0003422486599678,2009-07-01,0.08623190677619434
2009,8,1.00032927,2009-08-01,0.08296238223761745
2009,9,1.00032927,2009-09-01,0.08296238223761745
2009,10,1.00032927,2009-10-01,0.08296238223761745
2009,11,1.00032927,2009-11-01,0.08296238223761745
2009,12,1.000329253181815,2009-12-01,0.08295814545004798
2010,1,1.0003292514999966,2010-01-01,0.08295772177129271
2010,2,1.00032927,2010-02-01,0.08296238223761745
2010,3,1.00032927,2010-03-01,0.08296238223761745
2010,4,1.000331907966701,2010-04-01,0.08362693015406993
2010,5,1.0003565185714205,2010-05-01,0.08982666851148367
2010,6,1.0003759999245154,2010-06-01,0.09473417207299735
2010,7,1.000389777692259,2010-07-01,0.09820484066427405
2010,8,1.00040203,2010-08-01,0.10129120031340043
2010,9,1.00040203,2010-09-01,0.10129120031340043
2010,10,1.00040203,2010-10-01,0.10129120031340043
2010,11,1.00040203,2010-11-01,0.10129120031340043
2010,12,1.0004020769565145,2010-12-01,0.10130302859943942
2011,1,1.0004089518667645,2011-01-01,0.10303480372267014
2011,2,1.000420271999997,2011-02-01,0.10588629503498295
2011,3,1.0004364037958635,2011-03-01,0.10994976705435552
2011,4,1.0004404368344635,2011-04-01,0.11096564739896873
2011,5,1.00044698,2011-05-01,0.11261379381773351
2011,6,1.0004533085634222,2011-06-01,0.11420787423394868
2011,7,1.000458786657988,2011-07-01,0.11558772478697263
2011,8,1.0004646017391194,2011-08-01,0.11705244897745617
2011,9,1.0004464585714123,2011-09-01,0.11248245248635372
2011,10,1.0004391404622026,2011-10-01,0.11063910519878159
2011,11,1.00042849,2011-11-01,0.10795635254266192
2011,12,1.0004106463636335,2011-12-01,0.10346164201571412
2012,1,1.0004032949611583,2012-01-01,0.10160984222014265
2012,2,1.0003927,2012-02-01,0.09894097421094315
2012,3,1.0003717899357263,2012-03-01,0.09367365142142768
2012,4,1.0003547399109238,2012-04-01,0.08937860541066446
2012,5,1.0003373136290097,2012-05-01,0.08498870139249655
2012,6,1.0003197779999968,2012-06-01,0.0805711742412
2012,7,1.0003080763246464,2012-07-01,0.07762327747771298
2012,8,1.0002997965082445,2012-08-01,0.0755373977192576
2012,9,1.00028296,2012-09-01,0.07129583354111682
2012,10,1.0002770736264668,2012-10-01,0.06981288266190779
2012,11,1.00027371,2012-11-01,0.06896548215946194
2012,12,1.0002743594978512,2012-12-01,0.069129110778001
2013,1,1.0002726,2013-01-01,0.06868583854547866
2013,2,1.0002731149993267,2013-02-01,0.06881558297407664
2013,3,1.0002739874998365,2013-03-01,0.0690353929732566
2013,4,1.000278116353926,2013-04-01,0.0700755770589943
2013,5,1.0002842080875298,2013-05-01,0.07161026243160278
2013,6,1.00030177,2013-06-01,0.07603456810113587
2013,7,1.0003137373531246,2013-07-01,0.07904941325885817
2013,8,1.0003217808953024,2013-08-01,0.08107574200324547
2013,9,1.00033839,2013-09-01,0.08525985527223155
2013,10,1.0003510369215458,2013-10-01,0.08844578127023632
2013,11,1.0003583809852465,2013-11-01,0.0902958290943016
2013,12,1.0003746623809493,2013-12-01,0.0943972375563539
2014,1,1.0003845090506698,2014-01-01,0.0968776567942233
2014,2,1.0003935979963725,2014-02-01,0.09916718036411466
2014,3,1.00040168,2014-03-01,0.10120303574275044
2014,4,1.0004097349963967,2014-04-01,0.10323207163967196
2014,5,1.00041063,2014-05-01,0.10345752007268437
2014,6,1.00041063,2014-06-01,0.10345752007268437
2014,7,1.00041063,2014-07-01,0.10345752007268437
2014,8,1.0004106814285634,2014-08-01,0.1034704747507506
2014,9,1.00041063,2014-09-01,0.10345752007268437
2014,10,1.000411407388133,2014-10-01,0.10365334139597016
2014,11,1.00041957,2014-11-01,0.10570946529025677
2014,12,1.0004349599813092,2014-12-01,0.10958608423667404
2015,1,1.0004433032983815,2015-01-01,0.11168767726292264
2015,2,1.00045513,2015-02-01,0.11466666785864044
2015,3,1.0004703817998257,2015-03-01,0.11850834365666409
2015,4,1.0004737574927167,2015-04-01,0.11935861687701713
2015,5,1.00049037,2015-05-01,0.1235429515964475
2015,6,1.0005053785526665,2015-06-01,0.12732322476769464
2015,7,1.0005093956401199,2015-07-01,0.1283350174353952
2015,8,1.00052531,2015-08-01,0.13234336239670336
2015,9,1.00052531,2015-09-01,0.13234336239670336
2015,10,1.00052531,2015-10-01,0.13234336239670336
2015,11,1.00052531,2015-11-01,0.13234336239670336
2015,12,1.00052531,2015-12-01,0.13234336239670336
2016,1,1.00052531,2016-01-01,0.13234336239670336
2016,2,1.00052531,2016-02-01,0.13234336239670336
2016,3,1.00052531,2016-03-01,0.13234336239670336
2016,4,1.00052531,2016-04-01,0.13234336239670336
2016,5,1.00052531,2016-05-01,0.13234336239670336
2016,6,1.00052531,2016-06-01,0.13234336239670336
2016,7,1.00052531,2016-07-01,0.13234336239670336
2016,8,1.00052531,2016-08-01,0.13234336239670336
2016,9,1.00052531,2016-09-01,0.13234336239670336
2016,10,1.000521825990901,2016-10-01,0.13146585154035517
2016,11,1.0005166,2016-11-01,0.1301495852558821
2016,12,1.00050788,2016-12-01,0.1279532702962247
2017,1,1.0004911499200702,2017-01-01,0.12373939504752798
2017,2,1.0004786499654417,2017-02-01,0.12059093317009253
2017,3,1.00045513,2017-03-01,0.11466666785864044
2017,4,1.0004353742884,2017-04-01,0.10969044420953959
2017,5,1.00041957,2017-05-01,0.10570946529025677
2017,6,1.0003837,2017-06-01,0.09667385430689332
2017,7,1.0003785270626109,2017-07-01,0.09537077070762717
2017,8,1.00034749,2017-08-01,0.0875522691118412
2017,9,1.0003182658932803,2017-09-01,0.08019024487346889
2017,10,1.000305697084017,2017-10-01,0.07702389278229718
2017,11,1.00028333,2017-11-01,0.07138904714814295
2017,12,1.0002685139725684,2017-12-01,0.06765643814420551
2018,1,1.00026481,2018-01-01,0.06672328589319126
2018,2,1.000258100546901,2018-02-01,0.0650329456605776
2018,3,1.000252857133996,2018-03-01,0.06371194309672383
2018,4,1.0002462,2018-04-01,0.06203476383390516
2018,5,1.0002462,2018-05-01,0.06203476383390516
2018,6,1.0002462,2018-06-01,0.06203476383390516
2018,7,1.0002462,2018-07-01,0.06203476383390516
2018,8,1.0002462,2018-08-01,0.06203476383390516
2018,9,1.0002462,2018-09-01,0.06203476383390516
2018,10,1.0002462,2018-10-01,0.06203476383390516
2018,11,1.0002462,2018-11-01,0.06203476383390516
2018,12,1.0002462,2018-12-01,0.06203476383390516
2019,1,1.0002462,2019-01-01,0.06203476383390516
2019,2,1.0002462,2019-02-01,0.06203476383390516
2019,3,1.0002462,2019-03-01,0.06203476383390516
2019,4,1.0002462,2019-04-01,0.06203476383390516
2019,5,1.0002462,2019-05-01,0.06203476383390516
2019,6,1.0002462,2019-06-01,0.06203476383390516
2019,7,1.0002462,2019-07-01,0.06203476383390516
2019,8,1.00022751,2019-08-01,0.057325999128207565
2019,9,1.0002203518631398,2019-09-01,0.055522552486930644
2019,10,1.0002078995578148,2019-10-01,0.05238524332351986
2019,11,1.00018985,2019-11-01,0.04783765915385952
2019,12,1.0001781128147627,2019-12-01,0.044880432548743354
2020,1,1.00017089,2020-01-01,0.04306060079173011
2020,2,1.000162956660374,2020-02-01,0.041061732863684364
2020,3,1.0001535563195494,2020-03-01,0.038693221808103986
2020,4,1.00014227,2020-04-01,0.03584948990699953
2020,5,1.0001177729470567,2020-05-01,0.029677035116653202
2020,6,1.000101008468246,2020-06-01,0.02545284854301245
2020,7,1.00008442,2020-07-01,0.021272942081769497
2020,8,1.0000760799942041,2020-08-01,0.019171429267570032
2020,9,1.00007469,2020-09-01,0.01882117713187241
2020,10,1.00007469,2020-10-01,0.01882117713187241
2020,11,1.00007469,2020-11-01,0.01882117713187241
2020,12,1.00007469,2020-12-01,0.01882117713187241
2021,1,1.00007469,2021-01-01,0.01882117713187241
2021,2,1.00007469,2021-02-01,0.01882117713187241
2021,3,1.000087342069872,2021-03-01,0.022009240455409074
2021,4,1.00010379,2021-04-01,0.026153722776045538
